playerid;teamid;loandateend
271575;55;162062
274516;1808;162062
271362;2;162062
272602;44;162062
269495;1808;162062
273621;1808;162062
269859;112172;162062
259913;101059;162062
247172;112139;162062
257504;95;162062
277244;48;162062
259399;11;162062
270206;8;162062
253004;241;162062
259714;25;162062
234569;234;162062
236804;64;162062
240734;1808;162062
241187;112172;162062
246871;2;162062
252064;110062;162062
255854;457;162062
263880;448;162062
247679;32;162062
259197;5;162062
227813;1;162062
256197;32;162062
256958;1;162062
265693;1;162062
231448;1;162062
248732;1;162062
225793;39;162062
255611;39;162062
257785;39;162062
266304;39;162062
271577;39;162062
255529;39;162062
271399;39;162062
279529;39;162062
213565;240;162062
251136;240;162062
256058;240;162062
192448;241;162062
231677;11;162062
246139;241;162062
210514;605;162062
223885;21;162062
266236;21;162062
277823;21;162062
229942;5;162062
260942;5;162062
274559;5;162246
248478;22;162062
262105;22;162062
264699;44;162062
268558;44;162246
229237;10;162062
247888;44;162062
211320;45;162062
224422;72;162062
236499;45;162062
240690;45;162062
246656;189;162062
257290;45;162062
243580;112172;162062
276804;45;162062
223550;23;162062
268622;32;162062
261360;32;162062
246174;9;162062
253428;9;162062
278104;9;162062
226753;11;162062
233049;11;162062
224081;10;162062
253052;10;162062
276528;10;162062
206517;10;162062
257353;47;162062
201153;47;162062
205431;19;162062
246172;47;162062
252060;47;162062
253177;47;162062
256899;47;162062
271579;47;162062
278928;47;162062
246457;48;162062
216816;48;162062
224836;54;162062
237669;48;162062
239380;48;162062
241390;112172;162062
244472;48;162062
245741;48;162062
268511;48;162062
268656;48;162062
268683;48;162062
233934;17;162062
211990;13;162062
218659;13;162062
240702;280;162062
220093;74;162062
225263;66;162062
233267;66;162062
246947;66;162062
256970;267;162062
264325;66;162062
211784;219;162062
223143;219;162062
240507;219;162062
240787;1943;162062
226851;44;162062
232097;219;162062
241496;45;162062
243009;219;162062
256669;219;162062
264401;219;162062
237679;73;162062
231447;2;162062
232223;9;162062
245426;52;162062
259608;1808;162062
268728;52;162062
271916;21;162062
239964;52;162062
246688;52;162062
269312;52;162062
229391;21;162062
261025;18;162062
246791;18;162062
264180;18;162062
264731;18;162062
269176;18;162062
