playerid;firstname;lastname
258378;Mika;Godts
260162;Mario;Stroeykens
266127;Lewis;Hall
266815;Ben;Gannon-Doak
268421;Mathys;Tel
272781;Eliesse;Ben Seghir
278661;Yarek;Gąsiorowski
263765;Tom;Bischof
263828;Roger;Fernandes
265526;Guillaume;Restes
275050;Kyriani;Sabbe
263370;Valentín;Barco
268259;Nelson;Weiper
272785;Christian;Mawissa
267861;Santiago;Castro
271574;Rico;Lewis
271575;Simone;Pafundi
274516;Ibrahim;Osman
270579;Wilson;Odobert
277755;Josimar;Alcócer
269186;Orri;Óskarsson
269292;Gianluca;Prestianni
271362;Yasin;Özcan
272602;Valentín;Carboni
274952;Oscar;Højlund
276682;Cher;Ndour
277869;Michael;Kayode
266253;Iván;Fresneda Corraliza
269495;Facundo;Buonanotte
271917;Jorne;Spileers
273621;James;Beadle
269084;Umut;Tohumcu
270465;Badredine;Bouanani
273616;Romain;Esse
263193;El Chadaille;Bitshiabu
270208;Archie;Gray
271800;Yankuba;Minteh
272834;João Pedro;Gonçalves Neves
272978;Jorrel;Hato
274246;Lewis;Miley
275048;Chemsdine;Talbi
278046;Pau;Cubarsí Paredes
262863;Antonio;Nusa
269859;Arthur;Vermeeren
270673;Warren;Zaïre-Emery
271421;Désiré;Doué
272505;Endrick Felipe;Moreira de Sousa
272926;Lucas;Bergvall
275324;Assane;Diao
277482;Leo;Sauer
277846;Nicolás;Paz Martínez
242879;Maarten;Vandevoordt
252552;Konstantinos;Tzolakis
260599;Alan;Varela
262138;Castello;Lukeba
264238;Diego;López Noguerol
264388;Alberto;Moleiro González
264846;Cristhian;Mosquera Ibargüen
266096;Tomás;Lemos Araújo
266436;Javier;Guerra Moreno
268896;Hugo;Larsson
270077;Konstantinos;Koulierakis
270531;Ousmane;Diomande
272500;Carlos;Baleba
275298;Aleksandar;Pavlović
250753;Anatoliy;Trubin
254262;Zeno;Debast
256948;Christos;Tzolis
257186;Ardon;Jashari
259377;Yeremy Jesús;Pino Santos
259565;Yoan;Bonny
259913;Georgiy;Sudakov
260592;Benjamin;Šeško
261050;Francisco;F. da Conceição
264862;Maghnes;Akliouche
265450;Johan;Bakayoko
265576;Leopold;Querfeld
265695;Matías;Soulé
268611;Joel;Ordoñez
270050;Mika;Biereth
270086;António João;Tavares Silva
271032;Matte;Smets
273018;Andrey;N. dos Santos
274288;Oscar;Gloukh
277581;Samuel;Omorodion Aghehowa
277797;Marcos Leonardo;Santos Almeida
247172;Jhon;Durán
252037;Fábio Daniel;Soares Silva
254088;Amad;Diallo
258498;Bart;Verbruggen
258729;Gabriel;Veiga Novas
259848;Jon Mikel;Aramburu
259868;Pape Matar;Sarr
264172;José Ángel;Carmona Navarro
264298;Conor;Bradley
264432;Abdessamad;Ezzalzouli
267976;Pablo;Torre Carral
272612;Brajan;Gruda
247649;Jarrad;Branthwaite
255558;Emin;Bayram
256261;Malick;Thiaw
258432;Chrislain;Matsima
258781;Illia;Zabarnyi
259356;Carney;Chukwuemeka
259480;Ismael;Saibari
259633;Giannis;Konstantelias
262088;Hákon Arnar;Haraldsson
262859;Levi;Colwill
263063;James;Trafford
263268;Yoann;Cathline
263887;Jonas;Urbig
277295;Oscar;Bobb
248465;Ian;Maatsen
252144;Eduardo Filipe;Quaresma
254796;Noni;Madueke
257075;Paul;Nebel
257400;Yasin;Ayari
257504;Bilal;El Khannouss
257711;Riccardo;Calafiori
258139;Raúl;Moro Prescoli
265578;Ilias;Akhomach
271755;Enrique Jesús;Salas Valiente
277244;Rafael;Marín Zamora
250789;Dilane;Bakwa
251223;Ricardo;Pepi
252259;Enzo;Millot
255001;Nicolò;Rovella
255303;Elia;Caprile
255434;Julio César;Enciso
267680;Abdul;Fatawu
267991;Máximo;Perrone
270559;Tiago;Carvalho Santos
270633;Ryan;Flamingo
271121;Quilindschy;Hartman
271132;Gabriel;Silva Vieira
272874;Arne;Engels
273651;Jarell;Quansah
273883;Cesare;Casadei
274445;Karim;Konaté
277439;Volodymyr;Brazhko
278012;Darío;Osorio
242453;Sepp;van den Berg
246683;Lucien;Agoumé
255009;Kenneth;Taylor
256476;Mohamed-Ali;Cho
257057;Amadou;Onana
257368;Lorenzo;Pirola
257470;Anthony;Elanga
258906;Wilfried;Gnonto
259233;Ilaix;Moriba
260779;Simon;Adingra
260815;Arnau;Martínez López
260926;Kevin;Schade
261299;Alex;Scott
264293;Habib;Diarra
264701;Arsen;Zakharyan
244728;Sem;Steijn
245637;Georginio;Rutter
246618;Adam;Hložek
246672;Ander;Barrenetxea
251810;Brian;Brobbey
255928;Mohammed;Diomande
255971;Santiago;Hezze
256632;Luis Henrique;Tomaz de Lima
256782;Sebastian;Nanasi
257919;Rocco;Reitz
258937;Aimar;Oroz Huarte
259399;Rasmus;Højlund
260145;Omari;Hutchinson
260651;Bénie;Traoré
260952;Andreas;Schjelderup
262221;Luciano;Valente
262659;Noah;Atubolu
262842;Martin;Baturina
263575;Clemens;Riedel
269278;Diego;Gómez
270206;Mateo;Joseph
271019;Giovanni;Fabbian
271464;Yáser;Asprilla
272777;Bashir;Humphreys
275208;Guéla;Doué
277426;Carlos Roberto;Forbs Borges
277708;Unai;Gómez Etxebarria
266500;Jonathan;Rowe
268763;Ernest;Nuamah
269271;Filip;Stanković
270301;Gerard;Fdez. Castellano
270995;Nikolas;Sattlberger
270997;Samson;Baidoo
271573;Mattia;Zanotti
276695;Shea;Charles
277252;Samuel;Dahl
253444;Arnaud;Kalimuendo
255272;Kevin;Paredes
256402;Carlos;Alcaraz
256769;Adrien;Truffert
257084;Lesley;Ugochukwu
257167;Mathias;Kvistgaarden
258775;Luka;Sučić
261654;Omar;El Hilali
263439;Paulo Guilherme;Gonçalves Bernardo
263836;Jesús;Orozco Chiquete
264288;Alexandre;Penetra Correia
251954;Crysencio;Summerville
253004;Anssumane;Fati
253054;Hayden;Hackney
253130;Robert;Navarro Muñoz
256725;Fábio Leandro;Carvalho
257073;Tiago;B. de Melo Tomás
257090;Ismaël;Doukouré
258171;Hannibal;Mejbri
259170;Rodrigo;Martins Gomes
259306;Fabian;Rieder
259714;Merlin;Röhl
260407;Elye;Wahi
260523;Paxten;Aaronson
260876;Maurits;Kjaergaard
261616;Quentin;Merlin
262042;Maxime;Estève
262510;Beñat;Turrientes Imaz
264330;Christos;Zafeiris
264422;Matthis;Abline
247463;Folarin;Balogun
230918;Trevoh;Chalobah
226754;Ismaël;Bennacer
228174;Cameron;Carter-Vickers
235661;Doğucan;Haspolat
236830;Zaydou;Youssouf
237034;Juan Camilo;Hernández Suárez
239810;Nicolas;Raskin
234569;Florentino;Morris Luís
236804;Facundo;Medina
238756;Jørgen Strand;Larsen
240734;Matt;O'Riley
240913;Caoimhin;Kelleher
241187;Lutsharel;Geertruida
241707;Pape;Gueye
243057;Neco;Williams
243657;James;Garner
243702;Djed;Spence
244973;Marcel;Ruiz
246565;Bafodé;Diakité
246871;Enzo;Barrenechea
248484;Nathan;Collins
248695;Wesley;Fofana
248793;Mats;Wieffer
251377;Rodrigo;Zalazar
251421;Brennan;Johnson
251479;Maxim;De Cuyper
252064;Ladislav;Krejčí
253306;Manuel;Ugarte
254566;Patrick;Wimmer
255223;Amine;Adli
255654;Pierre;Kalulu
255854;Jon;Pacheco Dozagarat
256612;F. Evanilson;de Lima Barbosa
257191;Anton;Stach
257278;Arthur;Theate
257784;Erik;Lira
257876;Nicolas;Seiwald
258444;Evann;Guessand
258908;Jan Paul;van Hecke
258911;Toluwalase;Arokodare
263617;Beñat;Prados Díaz
