playerid;overallrating;potential;birthdate;playerjointeamdate;contractvaliduntil;haircolorcode;eyecolorcode;skintonecode;headtypecode;bodytypecode;height;weight;preferredfoot;skillmoves;internationalrep;hashighqualityhead;isretiring;nationid;preferredposition1;preferredposition2;preferredposition3;preferredposition4;firstname;lastname;acceleration;sprintspeed;agility;balance;jumping;stamina;strength;reactions;aggression;interceptions;positioning;vision;ballcontrol;crossing;dribbling;finishing;freekickaccuracy;headingaccuracy;longpassing;shortpassing;marking;shotpower;longshots;standingtackle;slidingtackle;volleys;curve;penalties;gkdiving;gkhandling;gkkicking;gkreflexes;gkpositioning
258378;74;85;154369;160816;2029;6;8;2;31;2;176;70;1;4;1;0;0;7;27;16;-1;-1;Mika;Godts;80;81;84;86;64;72;63;69;40;33;69;69;80;69;82;64;54;44;62;70;30;66;57;49;47;60;68;66;8;10;14;7;14
260162;74;86;154118;160051;2028;0;9;5;1036;2;177;79;1;3;1;0;0;110;14;18;10;-1;Mario;Stroeykens;73;70;73;72;71;73;73;67;51;55;72;71;78;58;78;76;53;53;75;80;18;71;75;66;45;64;58;66;7;12;8;7;13
266127;80;86;154097;161333;2029;1;1;2;20;2;179;71;2;2;1;1;0;14;7;16;-1;-1;Lewis;Hall;78;76;80;85;71;80;56;79;60;77;68;77;79;83;79;60;70;64;76;78;77;65;62;79;80;62;81;55;14;8;9;14;8
266815;71;85;154526;161746;2030;6;2;1;4014;2;175;67;1;4;1;0;0;42;12;23;-1;-1;Ben;Gannon-Doak;90;89;86;85;64;65;57;66;60;28;64;66;72;65;74;62;57;41;55;65;21;61;60;30;25;58;63;58;13;6;10;12;5
278661;74;85;154223;161707;2030;5;4;1;55;4;192;75;2;2;1;1;0;45;5;7;10;-1;Yarek;Gąsiorowski;63;68;69;66;76;67;68;72;72;76;40;66;71;53;63;50;34;75;70;74;75;59;55;76;71;41;50;53;9;8;10;11;6
256420;78;86;154301;161160;2028;21;9;8;1031;7;170;60;1;4;1;0;0;7;16;27;-1;-1;Malick;Fofana;87;86;89;89;51;69;36;75;51;35;74;71;79;71;84;74;52;32;64;74;41;64;66;43;41;62;64;58;11;6;13;9;11
263828;76;85;154536;161764;2029;0;9;10;1016;7;166;65;2;3;1;0;0;38;12;16;23;-1;Roger;Fernandes;87;90;91;87;59;71;44;76;60;61;73;68;79;72;80;71;52;48;66;68;61;69;66;58;40;55;62;58;13;9;10;15;10
265526;78;86;154281;160262;2028;0;3;8;1016;5;188;82;2;1;1;1;0;18;0;-1;-1;-1;Guillaume;Restes;38;44;38;42;62;39;65;72;22;13;9;62;17;17;8;9;13;12;48;51;11;60;7;16;14;7;13;15;78;74;80;80;77
275050;72;85;154237;160786;2028;3;9;1;9;2;172;68;1;2;1;0;0;7;3;7;12;-1;Kyriani;Sabbe;79;72;74;88;75;77;65;65;76;67;65;65;71;74;70;61;45;60;69;73;66;70;60;68;68;67;69;40;9;12;14;13;6
263370;76;84;154050;161699;2029;7;3;1;2027;7;170;66;2;3;1;1;0;52;14;16;7;10;Valentín;Barco;77;76;85;81;60;78;48;75;76;74;73;77;79;77;77;42;60;50;78;80;66;60;52;74;72;42;77;67;12;10;9;12;6
268259;70;84;154287;160497;2026;5;2;2;1534;4;192;83;1;3;1;0;0;21;25;18;14;-1;Nelson;Weiper;64;84;61;56;81;65;78;68;66;18;72;53;68;39;69;72;43;72;37;55;23;68;57;20;19;62;46;57;10;13;12;6;6
272785;75;84;154319;161374;2029;0;9;10;1021;2;184;77;2;2;1;1;0;18;5;7;-1;-1;Christian;Mawissa;73;84;57;58;84;69;76;73;74;75;40;48;68;53;63;28;28;73;56;71;72;45;21;77;75;28;42;42;11;6;8;13;13
267861;76;84;154107;161180;2028;0;3;5;10;3;182;76;1;4;1;1;0;52;25;-1;-1;-1;Santiago;Castro;80;78;77;76;85;60;67;75;78;39;76;59;76;65;75;76;51;78;56;68;30;79;75;38;40;68;58;65;14;13;9;11;12
271574;77;84;154171;160602;2030;0;3;4;530;7;170;64;1;3;1;1;0;14;3;7;14;-1;Rico;Lewis;78;75;84;82;64;72;47;77;66;75;71;76;78;76;79;53;42;58;74;79;74;61;51;76;74;30;54;50;11;8;11;13;12
271575;68;84;154649;160602;2026;19;3;3;2013;8;166;64;2;3;1;1;0;27;18;14;25;-1;Simone;Pafundi;83;71;87;92;59;61;37;58;62;54;58;68;74;64;73;56;71;55;66;70;48;70;65;39;36;60;74;69;7;10;11;8;7
274516;72;84;154179;161316;2026;0;9;9;1050;1;178;63;1;3;1;0;0;117;16;12;27;-1;Ibrahim;Osman;92;89;85;76;69;65;53;66;56;29;70;61;75;61;77;65;38;52;59;67;28;69;57;20;22;63;65;53;13;8;9;12;7
274559;73;84;155065;161698;2026;0;9;4;1542;1;178;71;2;4;1;0;0;57;18;23;14;-1;Kendry;Páez;77;81;82;75;58;70;49;69;44;57;71;72;74;61;75;70;60;48;70;72;34;68;71;42;41;44;73;51;10;11;9;6;15
277755;69;83;154034;161011;2028;21;9;8;4500;5;185;74;1;4;1;0;0;72;16;18;7;-1;Josimar;Alcócer;75;71;72;60;56;65;60;55;53;18;59;59;74;68;75;68;42;32;59;67;23;60;56;27;22;48;50;57;10;13;15;12;8
269186;74;83;154087;161393;2030;4;5;3;1532;5;186;76;1;2;1;1;0;24;25;-1;-1;-1;Orri;Óskarsson;73;74;66;72;84;72;76;74;69;26;76;65;74;52;68;74;56;73;58;72;29;75;69;25;25;69;60;66;14;14;12;7;15
269292;71;83;154607;161181;2029;4;9;2;4009;8;166;63;1;4;1;0;0;52;12;18;23;-1;Gianluca;Prestianni;91;83;92;93;47;68;33;73;68;53;65;64;77;55;79;61;49;26;57;64;39;62;60;44;38;49;56;61;6;7;14;15;10
271362;69;83;154686;161668;2026;0;3;3;1541;5;185;75;2;2;1;0;0;48;5;7;16;-1;Yasin;Özcan;74;74;62;53;74;70;66;62;71;66;51;55;72;60;60;44;34;65;65;69;73;66;40;73;66;34;58;49;7;13;6;8;11
271975;73;83;154141;160087;2027;0;9;4;4016;4;185;77;1;3;1;0;0;45;10;14;5;-1;Stefan;Bajcetic Maquieira;67;79;69;62;68;68;72;69;72;74;52;70;74;55;74;50;49;54;71;74;72;57;53;73;73;50;59;48;6;12;11;8;13
272602;71;83;154275;160602;2026;0;3;4;3506;5;185;78;2;3;1;0;0;52;18;25;12;14;Valentín;Carboni;60;62;63;66;59;42;46;73;60;33;69;71;74;68;75;70;70;67;71;75;47;73;67;50;37;71;73;65;13;8;11;7;13
274952;72;83;154215;161342;2029;15;1;1;4001;1;184;76;1;3;1;0;0;13;14;10;-1;-1;Oscar;Højlund;75;80;79;75;75;67;68;73;76;72;69;70;73;54;71;67;48;66;71;77;75;66;63;73;68;56;54;45;9;10;6;13;8
276682;70;83;154054;161550;2029;21;3;7;1037;5;190;84;1;3;1;1;0;27;14;18;10;-1;Cher;Ndour;49;60;57;52;69;57;78;70;61;58;68;73;75;60;73;59;54;61;72;74;55;74;61;59;56;49;65;51;10;13;11;13;7
277869;77;83;154037;161668;2030;0;9;9;1015;2;179;70;1;3;1;0;0;27;3;12;-1;-1;Michael;Kayode;77;80;78;71;78;74;70;75;75;75;71;69;74;77;75;32;34;68;61;72;75;52;39;77;77;50;64;40;9;8;8;14;14
266253;74;82;154109;161027;2028;3;2;2;1502;2;181;79;1;3;1;1;0;45;3;12;7;-1;Iván;Fresneda Corraliza;78;79;71;74;75;80;67;67;62;70;58;53;77;65;75;57;30;60;53;69;72;43;48;76;71;49;50;41;14;5;12;11;6
269495;75;82;154203;160786;2026;0;7;2;529;1;174;66;2;3;1;1;0;52;18;12;14;-1;Facundo;Buonanotte;77;74;78;81;63;69;52;75;35;25;74;75;77;70;74;74;62;50;71;76;28;72;64;30;25;52;72;55;8;9;7;9;14
271917;69;82;154232;160602;2028;2;3;1;1526;4;188;79;1;2;1;1;0;7;5;3;10;-1;Jorne;Spileers;68;76;61;61;76;73;75;68;67;69;29;57;63;48;51;26;30;69;66;69;70;49;24;69;65;29;29;35;8;15;8;9;12
273621;70;82;154043;160433;2026;0;9;1;1517;4;201;85;1;1;1;0;0;14;0;-1;-1;-1;James;Beadle;47;45;55;45;65;40;67;60;25;11;6;50;25;12;10;6;11;15;50;55;6;51;8;15;12;10;15;13;70;69;68;71;70
259608;73;82;154138;160064;2026;5;1;2;68;5;188;78;1;3;1;1;0;25;25;-1;-1;-1;Evan;Ferguson;67;66;66;66;79;66;75;72;65;13;73;63;74;50;71;75;53;71;50;70;18;75;78;13;13;71;63;67;9;8;14;11;12
269084;70;82;154069;160553;2028;3;4;2;1549;2;175;71;1;3;1;1;0;21;18;14;-1;-1;Umut;Tohumcu;71;65;77;79;49;63;46;72;59;40;60;72;72;55;71;63;59;39;70;75;52;65;63;56;50;51;62;55;12;7;7;10;6
