teamid;playerid
112139;73562
11;163264
13;163600
21;167495
47;177003
44;177683
44;184392
241;186153
13;186345
21;186569
241;188545
219;188567
45;189342
52;190813
243;192119
48;192505
44;192883
48;192985
240;193747
240;194765
39;194894
243;197445
45;198009
13;198032
13;198039
44;198176
44;199845
11;200145
240;200389
48;200752
219;201455
21;202126
48;202884
11;203263
9;203376
10;203574
13;203841
32;204092
10;204246
22;204923
243;204963
45;205175
243;205452
47;205812
18;205923
11;205988
13;206085
21;206113
1;206585
10;207410
1;207421
13;207650
73;207865
39;207993
44;208128
39;208165
52;208268
22;208333
66;208364
39;208461
45;208574
32;208618
10;208920
9;209331
21;209658
21;209889
47;210008
32;210035
13;210047
32;210324
32;210366
66;210372
44;210406
1;210697
219;210736
22;210772
52;211110
66;211256
52;211515
32;211738
22;212190
22;212194
11;212198
32;212242
21;212622
9;212831
21;213331
219;213648
241;213661
47;213666
240;214979
219;215316
22;215441
47;215698
39;216065
39;216150
9;216267
48;216409
48;216435
240;216460
240;216549
48;217870
10;218667
66;219683
44;219715
240;220440
48;220532
52;220651
18;220697
73;220814
1;220901
45;222077
5;222104
243;222509
9;222514
1;222665
39;223273
13;223334
22;224196
44;224232
52;224490
9;225100
48;225116
1;225193
21;225375
18;225539
66;225782
66;225859
240;226161
44;226268
73;226271
39;226710
130017;226754
48;227236
18;227535
47;227796
44;228093
78;228174
52;228251
175;228383
243;228618
241;228702
5;228789
32;228813
22;229476
21;229558
52;229582
52;229668
22;229891
10;230621
1;230666
52;230872
240;230899
5;230918
243;231281
243;231410
73;231443
44;231478
45;231512
32;231521
243;231747
10;231866
1;231936
18;231943
47;232411
9;232487
18;232488
1;232580
47;232756
11;233064
240;233084
44;233096
52;233189
241;233419
240;233486
9;233731
66;234078
21;234205
32;234236
66;234371
1;234378
21;234396
11;234574
13;234742
13;234824
22;235073
73;235212
11;235243
22;235407
72;235633
681;235661
1;235790
1;235794
9;235805
45;235840
11;236401
52;236403
18;236480
18;236568
48;236632
9;236772
32;236786
112390;236830
449;237034
21;237086
48;237238
32;237328
13;237329
44;237383
9;237678
10;237692
219;237841
47;237942
18;237985
11;238041
5;238074
111592;238186
18;238216
5;238616
45;238744
110;238756
243;238794
243;239053
10;239085
5;239231
11;239301
39;239368
219;239559
45;239580
48;239679
45;239763
44;239807
86;239810
10;239818
9;239837
325;239892
18;240091
243;240130
73;240225
11;240243
47;240277
10;240638
45;240679
48;240716
219;240753
1925;240913
22;241050
21;241084
13;241096
10;241159
10;241236
241;241461
241;241486
1925;241508
247;241509
243;241637
1;241651
483;241707
47;241721
44;241736
457;241811
54;241854
55;242238
9;242434
112139;242444
1925;242453
52;242458
9;242516
5;242578
10;242641
47;242664
697;242816
219;242835
112172;242879
13;242964
11;243014
14;243057
48;243241
44;243311
111674;243627
45;243630
11;243647
7;243657
18;243702
1;243715
73;243780
243;243812
483;243923
243;243952
241;244260
48;244263
246;244728
219;244749
111592;244973
241;245037
47;245152
18;245155
18;245367
240;245371
47;245630
1808;245637
48;245992
9;246104
219;246147
240;246191
219;246297
10;246420
45;246430
1943;246565
243;246606
10029;246618
1;246669
457;246672
481;246683
22;246863
39;246875
13;246923
66;247050
5;247090
240;247103
39;247229
45;247246
32;247263
18;247394
69;247463
9;247601
73;247635
7;247649
22;247819
21;247827
13;247851
1;248148
5;248158
243;248243
21;248266
2;248465
1925;248484
5;248695
1808;248793
52;250723
234;250753
14;250789
21;250955
11;250961
247;251223
1896;251377
18;251421
39;251470
1808;251479
10;251517
1;251566
10;251570
73;251752
247;251804
1;251805
219;251806
13;251809
106;251810
22;251852
241;251854
45;251870
19;251954
22;252037
5;252042
237;252144
73;252145
39;252154
112387;252259
243;252371
280;252552
325;252802
236;252929
39;253002
12;253054
605;253072
10;253124
448;253130
9;253149
241;253163
11;253306
240;253396
14;253444
47;253473
11;254088
22;254117
237;254262
72;254548
483;254551
175;254566
1;254796
47;254840
46;255001
245;255009
10;255069
32;255106
1943;255223
73;255253
175;255272
1842;255303
76;255434
681;255558
453;255566
45;255654
86;255928
280;255971
39;256035
5;256079
39;256115
73;256196
13;256261
245;256325
7;256402
66;256420
72;256476
1943;256612
9;256630
44;256632
10;256675
1925;256725
1943;256769
76;256782
21;256790
32;256853
73;256903
231;256948
2;257057
36;257073
169;257075
1796;257084
76;257090
1792;257167
47;257186
8;257191
1824;257278
240;257279
9;257289
280;257368
1808;257400
13;257470
5;257534
1;257711
111592;257784
112172;257876
23;257919
14;257980
245;258139
1796;258171
245;258378
100409;258432
2;258444
453;258466
5;258485
1808;258498
44;258648
236;258729
457;258775
73;258781
52;258826
483;258885
8;258906
1808;258908
110;258911
479;258937
45;258966
5;259031
22;259075
110;259170
450;259233
100409;259306
5;259307
22;259356
1799;259377
247;259480
240;259516
241;259532
44;259565
18;259583
240;259584
393;259633
457;259848
18;259868
18;260105
14;260145
229;260162
1824;260407
694;260523
11;260592
236;260599
896;260651
39;260697
106;260779
110062;260815
191;260876
9;260908
1925;260926
234;260952
45;261050
468;261264
1943;261299
5;261530
74;261616
452;261654
48;261865
1796;262042
65;262088
66;262102
39;262113
13;262118
112172;262138
32;262151
246;262221
48;262394
483;262402
457;262510
9;262621
25;262659
52;262745
1745;262842
5;262859
112172;262863
231;262880
234;262881
10;263063
66;263139
112172;263193
325;263205
1903;263268
76;263370
78;263439
452;263575
241;263578
448;263617
5;263620
21;263765
69;263781
66;263815
607;263828
111592;263836
21;263887
481;264172
32;264219
461;264238
241;264240
1906;264288
106;264293
9;264298
