playerid;firstname;lastname;nationid;birthdate
159163;Jens;Robben;21;146292
104389;Rune Almenning;Jarstein;36;146813
41;Andrés;Iniesta;45;146672
153269;Hervé;Guy;108;146758
107084;Michael;Langer;4;146912
182681;Colin;Daniel;14;148047
197998;Andreas;Andersson;46;149155
163396;James;Vaughan;14;148197
157407;Brendan;Clarke;25;147166
155533;Leon;Clarke;14;146947
190235;Jordan;Clarke;14;149420
165509;Billy;Clarke;25;147983
50632;Peter;Clarke;14;145813
156453;Nicky;Adler;21;147049
183574;Max;Kruse;21;148080
182440;Robbie;Kruse;195;148280
144429;Oscar;Wendt;46;147203
189824;Renato;de Araújo;54;148856
199180;Vladimir;de Araújo;54;148564
183593;Joshua;John;34;148276
202101;Ola;John;34;149602
180903;Jay;O'Shea;25;148224
201136;Maxime;Colin;18;149416
150496;Domi;Kumbela;110;146651
163865;Craig;Morgan;50;147073
152996;Per Ciljan;Skjelbred;36;147803
156437;Philipp;Pentke;21;147027
157430;Sejad;Salihović;8;146822
157528;Moritz;Stoppelkamp;21;147616
199197;Patrick;Salomon;4;148163
198007;Eric;Alexander;95;148106
158394;Ken;Reichel;21;147624
158438;Gelson;Tavares Fernandes;47;147516
121937;Florian;Kastenmeier;21;151863
158667;Thomas;Bröker;21;146928
187671;Simon;Stehle;21;153010
155355;Chung-Yong;Lee;167;148185
161844;Niklas;Hoheneder;4;147500
162369;Vedad;Ibišević;8;146759
203079;Alexander;Michel;46;149781
165176;Sebastian;Freis;21;147019
167452;Oliver;Fink;21;145967
193537;Anton;Fink;21;147848
167495;Manuel;Neuer;21;147357
177761;Phil;Edwards;14;147218
192231;Joe;Edwards;14;149036
158716;David;Edwards;50;147305
181698;Etienne;Green;18;152585
184714;Matt;Green;14;147638
168607;Márcio Rafael;Ferreira de Souza;54;147156
170159;Felix;Bastians;21;148131
193931;Troy;Brown;50;148992
169909;Junior;Brown;14;148494
152501;Jordan;Brown;14;152922
173765;Wayne;Brown;14;148220
193958;Lee;Brown;14;148954
152456;Scott;Brown;14;147022
169793;Connor;Smith;25;149877
183530;Jimmy;Smith;14;147643
151135;Jonathan;Smith;14;147561
186352;Tommy;Smith;198;148822
190885;Adam;Smith;14;149216
203316;Adam;Smith;14;149790
164773;Steven;Smith;42;147148
190583;Michael;Smith;14;149387
199027;Jack;Robinson;14;150072
170072;Theo;Robinson;82;148389
163584;Paul;Robinson;14;145817
170231;Marvin;Compper;21;147071
171919;Ronaldo;Aparecido Rodrigues;54;146063
193900;Jack;Hunt;14;149072
158138;Aaron;Hunt;21;147518
183789;Mark;Howard;14;147535
72556;Sebastián;Kóša;43;153736
172316;Jorge;Andújar Moreno;45;147752
169539;Mark;Hughes;14;147614
172862;Niklas;Moisander;17;147178
165560;Marco;Ruben;52;147570
172879;Sokratis;Papastathopoulos;22;148162
173415;Marco;Knaller;4;147721
173498;Lloyd;James;50;148048
194018;James;Collins;25;149067
186103;Lee;Collins;14;148273
173667;Rúrik;Gíslason;24;148057
200895;Josh;Morris;14;149370
173514;Ian;Morris;25;147694
189457;Aaron;Morris;50;148731
173771;Łukasz;Piszczek;37;147060
163581;Tony;Craig;14;147016
171971;Liam;Craig;42;147632
183907;Jérôme;Boateng;21;148248
173909;Kevin-Prince;Boateng;117;147701
188201;Tomás;Costa;52;146936
190196;Zargo;Touré;136;148682
175996;Daniel;Halfar;21;148008
176592;Markus;Palionis;30;147768
165738;Jason;Kennedy;14;147525
181015;Ben;Kennedy;195;147681
177019;Fabian;Lustenberger;47;148124
177129;Adam;Bodzek;37;147156
189434;Lars;Bender;21;148009
188385;Marvin;Martin;18;148011
162886;Russell;Martin;42;147275
188831;Joe;Martin;14;148335
197813;Jonas;Martin;18;148831
169112;Lee;Martin;14;147676
198073;Aaron;Martin;14;148639
184747;Chris;Martin;42;148310
177475;Tobias;Sippel;21;148083
177488;Manuel;Konrad;21;148106
177508;Patric;Klandt;21;146447
24630;Pepe;Reina;45;146053
176608;Javier;Reina;56;148371
177610;Javier;Martínez Aginaga;45;148247
180729;Michael;Theo;195;145487
190651;Miguel Ángel;Martínez;52;146559
200502;Marc;Martínez;45;148856
202811;Emiliano;Martínez;52;149708
177270;Luis;Martínez;83;147755
177683;Yann;Sommer;47;148353
178603;Mats;Hummels;21;148352
179516;Rouwen;Hennings;21;147876
203023;Darren;Cole;42;149465
203537;Sammy;Ameobi;133;149584
179783;Ralf;Fährmann;21;148272
181558;Romain;Armand;18;147694
179891;Marcel;Heller;21;147314
179954;Thomas;Kraft;21;148205
180433;Tobias;Levels;21;147597
181318;Albin;Ekdal;46;148576
182152;Ja Cheol;Koo;167;148425
182677;Fabian;Müller;21;147581
189596;Thomas;Müller;21;148623
202873;Kevin;Müller;21;149171
182743;Thorsten;Kirschbaum;21;147746
182888;Håvard;Nordtveit;36;148904
190971;Osvaldo;Alonso;73;147221
192638;Marcos;Alonso;45;149094
183346;Fabian;Frei;47;148375
190569;Stefan;Frei;95;147381
183513;Jens;Grahl;21;148267
179956;Fredrik;Olsson;46;146941
187916;Marcus;Olsson;46;148139
184472;Martin;Olsson;46;148139
183565;Arne;Feick;21;148093
183568;Sebastian;Langkamp;21;148016
190780;Sean;Johnson;95;148518
177159;Fabian;Johnson;95;147981
202768;Elliott;Johnson;14;150422
152536;Bradley;Johnson;14;147754
201887;Daniel;Johnson;82;149744
184407;Federico;Moretti;27;148303
183573;Norman;Theuerkauf;21;147660
183578;Sören;Gonther;21;147620
183580;Nils;Petersen;21;148342
183632;Robert;Tesche;21;147783
155408;Marcel;Schäfer;21;146699
183714;Simon;Terodde;21;148063
183795;Georg;Margreitter;4;148313
183920;Richard;Sukuta-Pasu;21;148907
201085;Scott;Allan;42;149429
200449;Darren;McGregor;42;147125
163212;Scott;Boyd;42;147426
50163;Konstantinos;Papadopoulos;22;152605
184477;Kyriakos;Papadopoulos;22;149516
137763;Andrew;Thomas;40;151898
184190;Romain;Thomas;18;148165
190254;Wes;Thomas;14;147659
184816;Nejmeddin;Daghfous;145;147545
185122;Péter;Gulácsi;23;148858
185239;Ömer;Toprak;48;148569
185427;Ørjan;Nyland;36;148985
186148;Ron-Robert;Zieler;21;148410
186274;Konstantin;Rausch;40;148806
186307;Marco;Fabián;83;148569
155517;Danny;Olsen;13;147068
186330;Theodor;Gebre Selassie;12;147629
186405;Franco;Di Santo;52;148464
186569;Sven;Ulreich;21;148217
186781;Kenneth;Kronholm;95;147193
192072;Adrian;Stoian;103;152571
186941;Raphael;Wolf;21;148159
187072;Lars;Stindl;21;148240
198153;Jake;Taylor;50;149432
189331;Greg;Taylor;14;148747
198235;Jon;Taylor;14;149664
159034;Steven;Taylor;14;147294
173735;Neil;Taylor;50;148405
169474;Andy;Taylor;14;147344
188789;Paul;Taylor;14;147913
177495;Chris;Taylor;14;147625
188154;Lewis;Holtby;21;148993
188182;Leon;Balogun;133;148181
200840;Curtis;Nelson;14;149969
165820;Wagner;Ferreira;54;146935
201890;Guilherme;Ferreira;54;149560
190502;Leonardo;Sernicola;27;151378
198927;Tom;Miller;14;148912
