assetid;balltype;teamcolor1g;teamcolor1r;teamcolor2b;teamcolor2r;teamcolor3r;teamcolor1b;latitude;teamcolor3g;teamcolor2g;teamname;adboardid;teamcolor3b;defmentality;powid;rightfreekicktakerid;physioid_secondary;domesticprestige;genericint2;jerseytype;rivalteam;midfieldrating;matchdayoverallrating;matchdaymidfieldrating;attackrating;physioid_primary;longitude;buspassing;matchdaydefenserating;defenserating;defteamwidth;longkicktakerid;bodytypeid;trait1;busdribbling;rightcornerkicktakerid;suitvariationid;defaggression;ethnicity;leftcornerkicktakerid;teamid;fancrowdhairskintexturecode;suittypeid;numtransfersin;captainid;personalityid;leftfreekicktakerid;genericbanner;buspositioning;stafftracksuitcolorcode;ccpositioning;busbuildupspeed;transferbudget;ccshooting;overallrating;ccpassing;utcoffset;penaltytakerid;freekicktakerid;defdefenderline;internationalprestige;form;genericint1;cccrossing;matchdayattackrating
1;241;1;204;255;255;204;1;51;1;255;Arsenal FC;2;1;67;-1;222665;2;19;-1;2;18;82;83;83;84;1;0;30;82;81;33;222665;0;734;47;222665;1;53;2;222665;1;0;0;0;222665;0;222665;0;0;0;1;29;77000000;41;82;33;0;222665;222665;0;18;0;-1;53;85
2;41;24;97;211;153;97;53;52;24;177;Aston Villa FC;3;53;49;-1;200458;2;15;-1;2;109;73;73;74;73;1;-1;39;72;73;49;200458;2;132;26;227174;1;31;2;227174;2;0;2;0;221697;0;200458;0;0;0;0;37;40000000;47;73;37;0;221697;200458;0;15;0;-1;77;74
3;41;76;1;255;255;1;182;53;76;255;Blackburn Rovers FC;3;202;46;-1;238196;2;11;-1;2;1796;68;68;68;68;1;-2;50;67;67;32;238196;1;320;50;238196;1;33;2;238196;3;0;0;0;238196;0;238196;0;0;0;0;52;10000000;32;68;33;0;238196;238196;0;12;0;-1;79;68
4;41;255;255;63;8;255;255;53;255;21;Bolton Wanderers;3;255;76;-1;221705;2;11;-1;2;4;68;69;69;65;1;-2;73;69;68;43;221705;1;72;33;244559;0;73;2;244559;4;0;2;0;165736;1;221705;0;0;0;0;70;2500000;76;68;69;0;165736;221705;0;9;0;-1;73;62
5;241;61;1;255;255;1;149;51;61;255;Chelsea FC;2;169;67;-1;247090;2;20;-1;2;1;84;83;83;85;1;0;38;82;83;51;247090;0;478;51;247090;1;51;5;247090;5;0;0;0;257534;1;247090;0;1;0;0;36;85000000;41;84;31;0;257534;247090;0;20;0;-1;41;84
7;241;54;1;255;255;1;156;53;54;255;Everton FC;2;156;67;-1;243282;2;15;-1;2;9;80;79;79;80;1;-2;40;76;77;51;243282;2;42;26;243282;0;51;2;243282;7;0;1;0;202695;0;243282;0;0;0;0;36;35000000;41;80;31;0;202695;243282;0;16;0;-1;41;80
8;41;255;255;134;46;235;255;53;225;67;Leeds United FC;3;1;43;-1;247249;2;11;-1;1;1939;72;70;70;72;1;-1;52;71;72;44;247249;0;16;43;244591;0;39;2;244591;8;0;0;0;247249;0;247249;0;0;0;0;51;18000000;44;71;39;0;247249;247249;0;11;0;-1;43;69
9;241;1;204;255;255;214;1;53;1;255;Liverpool FC;2;1;67;-1;236772;2;18;-1;1;11;81;81;81;84;1;-2;53;79;79;66;236772;1;478;77;216267;1;66;2;216267;9;0;2;0;203376;1;236772;0;0;0;1;49;85000000;45;81;50;-6;209331;236772;0;18;0;-1;56;85
10;241;177;133;255;255;133;222;53;177;255;Manchester City FC;2;232;60;-1;237692;2;19;-1;2;11;87;84;87;85;1;-8;28;82;82;66;237692;0;1005;50;218667;0;52;5;218667;10;0;1;0;239085;1;237692;0;1;0;1;30;85000000;33;84;37;0;239085;237692;0;19;0;-1;36;84
11;241;14;226;255;255;1;14;53;1;255;Manchester United FC;2;1;66;-1;212198;2;20;-1;2;9;84;84;84;86;1;-2;49;81;81;52;212198;1;292;53;212198;1;52;5;212198;11;0;0;0;212198;1;212198;0;0;0;1;50;85000000;31;84;36;0;212198;212198;0;20;0;-1;62;87
12;41;25;224;255;255;235;34;54;25;255;Middlesbrough FC;3;34;26;-1;227806;2;11;-1;2;13;71;70;70;71;1;-1;70;70;71;27;227806;1;50;73;260842;1;32;2;260842;12;0;2;0;253054;1;227806;0;0;0;1;66;9000000;73;71;73;0;253054;227806;0;10;0;-1;57;69
13;241;1;1;255;255;1;1;54;1;255;Newcastle United FC;2;1;46;-1;186345;2;16;-1;1;106;75;75;75;76;1;-1;49;76;75;41;186345;2;478;60;186345;1;56;4;186345;13;0;0;0;186345;0;186345;0;0;0;0;53;80000000;41;75;56;0;186345;186345;0;16;0;-1;60;75
14;41;36;221;255;255;210;33;52;36;255;Nottingham Forest FC;3;33;43;-1;236015;2;11;-1;2;91;71;70;70;70;1;-1;36;69;70;46;236015;1;252;53;236015;0;67;4;236015;14;0;0;0;236015;0;236015;0;0;0;1;38;27000000;53;71;33;0;230978;236015;0;10;0;-1;53;69
15;41;66;32;255;255;32;151;51;66;255;Queens Park Rangers FC;3;171;45;-1;238490;2;11;-1;2;144;72;70;72;66;1;0;53;70;68;60;228120;0;324;33;228120;1;49;2;238490;15;0;0;0;208159;1;238490;0;0;0;0;51;8000000;60;69;49;0;238490;238490;1;12;0;-1;63;66
17;241;1;221;255;255;221;1;50;1;255;Southampton FC;2;1;68;-1;226012;2;13;-1;1;1790;77;78;79;78;1;-1;40;77;77;39;226012;0;202;44;226012;1;59;4;226012;17;0;2;0;221841;0;226012;0;0;0;0;39;16000000;39;77;39;0;221841;226012;0;14;0;-1;39;78
18;241;255;255;88;1;255;255;51;255;26;Tottenham Hotspur FC;2;255;68;-1;220697;2;17;-1;1;1;83;83;83;85;1;0;38;82;82;63;220697;1;732;23;220697;1;63;4;220697;18;0;0;0;220697;0;220697;0;0;0;0;38;72000000;33;83;33;0;220697;220697;0;17;0;-1;33;85
19;241;43;114;249;105;114;69;51;43;183;West Ham United FC;2;69;47;-1;205569;2;14;-1;2;97;79;77;78;79;1;0;51;76;77;53;205569;1;1020;38;224371;0;44;2;224371;19;0;0;0;224371;0;205569;0;0;0;0;51;45000000;53;78;44;0;233927;205569;0;14;0;-1;78;79
21;37;5;220;255;255;203;45;48;48;255;FC Bayern München;18;66;75;-1;209889;2;20;-1;1;22;85;86;86;88;1;11;30;86;85;32;209889;1;644;51;212622;0;62;2;212622;21;0;0;0;202126;0;209889;0;0;0;1;35;87000000;28;86;33;1;202126;209889;0;20;0;-1;32;87
22;37;230;255;1;1;222;1;51;215;1;Borussia Dortmund;18;0;76;-1;212194;2;19;-1;2;21;82;81;82;76;1;7;50;83;82;34;212194;0;550;64;212194;0;64;2;212194;22;0;2;0;208333;0;212194;0;0;0;0;52;50000000;67;81;50;1;208333;212194;0;18;0;-1;54;76
23;37;1;1;255;255;1;1;51;120;255;Borussia Mönchengladbach;18;1;60;-1;220876;2;16;-1;2;31;78;78;78;81;1;6;51;78;77;56;220876;2;528;36;220876;1;58;2;220876;23;0;1;0;250724;0;220876;0;0;0;1;49;25000000;58;78;32;1;250724;220876;0;14;0;-1;36;80
25;37;1;228;1;1;255;43;47;255;1;SC Freiburg;18;255;49;-1;212096;2;11;-1;2;36;71;74;72;75;1;7;49;74;73;41;212096;0;2;49;212096;0;42;2;212096;25;0;2;0;212096;1;212096;0;0;0;1;49;15000000;41;73;42;1;212096;212096;0;11;0;-1;56;76
27;240;96;40;255;255;1;233;54;1;255;F.C. Hansa Rostock;18;180;49;-1;226711;2;10;-1;2;503;66;67;66;65;1;12;37;68;66;52;226711;1;0;34;215422;1;45;2;226711;27;0;2;0;231197;0;226711;0;0;0;1;39;600000;59;66;39;1;231197;226711;0;7;0;-1;79;66
28;37;90;1;255;255;1;170;53;1;255;Hamburger SV;18;1;76;-1;213134;2;18;-1;2;110329;74;73;72;71;1;9;67;73;76;56;213134;1;1;70;246885;0;66;2;246885;28;0;2;0;234640;0;213134;0;0;0;0;67;10000000;74;75;70;1;234640;213134;0;6;0;-1;66;68
29;37;1;255;255;255;153;1;49;24;255;1. FC Kaiserslautern;18;65;75;-1;205086;2;11;-1;2;503;68;70;69;69;1;7;49;69;68;42;205086;1;1;72;205086;1;72;2;205086;29;0;1;0;216981;0;205086;0;0;0;0;50;3200000;31;69;58;1;216981;205086;0;10;0;-1;32;71
31;37;1;255;255;255;225;1;50;14;255;1. FC Köln;18;14;66;-1;195038;2;12;-1;2;23;74;76;75;75;1;6;67;77;77;56;195038;1;288;42;195038;1;56;2;195038;31;0;2;0;195038;1;195038;0;0;0;0;67;12000000;74;76;62;1;195038;195038;0;12;0;-1;66;75
32;37;1;255;1;1;45;1;51;45;1;Bayer 04 Leverkusen;18;45;67;-1;210035;2;17;-1;2;31;79;79;79;78;1;7;68;79;78;63;210035;0;508;77;210324;1;63;2;210324;32;0;2;0;247679;0;210035;0;0;0;1;66;40000000;79;79;69;1;231521;210035;0;16;0;-1;53;78
33;37;200;145;255;255;40;241;48;100;255;1860 Munich;18;185;60;-1;176790;2;10;-1;2;21;69;71;69;71;1;11;39;70;67;61;176790;1;1;57;176790;1;63;4;176790;33;0;2;0;169410;1;176790;0;0;0;0;59;7000000;53;71;48;1;201285;176790;0;10;0;-1;62;71
34;37;75;1;255;255;13;156;51;70;255;FC Schalke 04;18;223;66;-1;229155;2;18;-1;2;22;79;78;78;77;1;7;50;79;80;33;229155;1;1;64;229155;0;53;2;229155;34;0;1;0;205966;0;229155;0;0;0;0;51;19000000;42;79;49;1;205966;229155;0;16;0;-1;63;76
