playerid;teamid;isloaned
258378;245;0
260162;229;0
266127;13;0
266815;1943;0
268421;18;0
272781;32;0
278661;247;0
263765;21;0
263828;607;0
265526;1809;0
275050;231;0
263370;76;0
268259;169;0
272785;69;0
267861;189;0
271574;10;0
271575;55;1
274516;1808;1
270579;18;0
277755;681;0
269186;457;0
269292;234;0
271362;2;1
272602;44;1
274952;1824;0
276682;110374;0
277869;1925;0
266253;237;0
269495;1808;1
271917;231;0
273621;1808;1
269084;10029;0
270465;36;0
273616;1799;0
263193;112172;0
270208;18;0
271800;1808;0
272834;73;0
272978;5;0
274246;13;0
275048;106;0
278046;241;0
262863;112172;0
269859;112172;1
270673;73;0
271421;73;0
272505;243;0
272926;18;0
275324;1745;0
277482;246;0
277846;1745;0
242879;112172;0
252552;280;0
260599;236;0
262138;112172;0
264238;461;0
264388;483;0
264846;1;0
266096;234;0
266436;461;0
268896;1824;0
270077;175;0
270531;237;0
272500;1808;0
275298;21;0
250753;234;0
254262;237;0
256948;231;0
257186;47;0
259377;1799;0
259565;44;0
259913;101059;1
260592;11;0
261050;45;0
264862;69;0
265450;112172;0
265576;1831;0
265695;52;0
268611;231;0
270050;69;0
270086;234;0
271032;673;0
273018;5;0
274288;245;0
277581;236;0
277797;605;0
247172;112139;1
252037;22;0
254088;11;0
258498;1808;0
258729;236;0
259848;457;0
259868;18;0
264172;481;0
264298;9;0
264432;449;0
267976;453;0
272612;1808;0
247649;7;0
255558;681;0
256261;13;0
258432;100409;0
258781;73;0
259356;22;0
259480;247;0
259633;393;0
262088;65;0
262859;5;0
263063;10;0
263268;1903;0
263887;21;0
277295;10;0
248465;2;0
252144;237;0
254796;1;0
257075;169;0
257400;1808;0
257504;95;1
257711;1;0
258139;245;0
265578;483;0
271755;481;0
277244;48;1
250789;14;0
251223;247;0
252259;112387;0
255001;46;0
255303;1842;0
255434;76;0
267680;95;0
267991;1745;0
270559;65;0
270633;247;0
271121;1796;0
271132;1438;0
272874;78;0
273651;32;0
273883;54;0
274445;191;0
277439;130015;0
278012;1516;0
242453;1925;0
246683;481;0
255009;245;0
256476;72;0
257057;2;0
257368;280;0
257470;13;0
258906;8;0
259233;450;0
260779;106;0
260815;110062;0
260926;1925;0
261299;1943;0
264293;106;0
264701;457;0
244728;246;0
245637;1808;0
246618;10029;0
246672;457;0
251810;106;0
255928;86;0
255971;280;0
256632;44;0
256782;76;0
257919;23;0
258937;479;0
259399;11;1
260145;14;0
260651;896;0
260952;234;0
262221;246;0
262659;25;0
262842;1745;0
263575;452;0
269278;1808;0
270206;8;1
271019;189;0
271464;110062;0
272777;1796;0
275208;76;0
277426;231;0
277708;448;0
266500;189;0
268763;66;0
269271;205;0
270301;481;0
270995;673;0
270997;64;0
271573;10032;0
276695;17;0
277252;234;0
253444;14;0
255272;175;0
256402;7;0
256769;1943;0
257084;1796;0
257167;1792;0
258775;457;0
261654;452;0
263439;78;0
263836;111592;0
264288;1906;0
251954;19;0
253004;241;1
253054;12;0
253130;448;0
256725;1925;0
257073;36;0
257090;76;0
258171;1796;0
259170;110;0
259306;100409;0
259714;25;1
260407;1824;0
260523;694;0
260876;191;0
261616;74;0
262042;1796;0
262510;457;0
264330;266;0
264422;71;0
247463;69;0
230918;5;0
226754;130017;0
228174;78;0
235661;681;0
236830;112390;0
237034;449;0
239810;86;0
